year,mileage,value
2006,22959,30015.49
2019,6530,50767.16
2014,95856,22444.37
2010,4748,31093.53
2007,98504,19023.5
2020,99098,26399.8
2006,14545,26952.77
2025,67199,41170.11
2018,35766,39410.77
2022,74530,37181.47
2010,94557,13864.67
2010,62087,31089.22
2023,96839,29667.68
2020,69840,31473.42
2003,55384,21248.01
2007,52005,26705.58
2023,47576,47332.34
2002,40353,27090.99
2021,63003,38486.97
2020,84211,35539.75
2001,53733,10000.0
2023,66318,39237.58
2011,90474,15020.81
2005,24664,26686.16
2001,68172,12405.13
2020,86616,24463.7
2000,94264,10000.0
2011,27736,27312.89
2025,95209,39941.79
2021,1854,55411.63
2011,91084,21991.97
2024,39623,47975.31
2016,8392,46055.9
2009,56680,18117.89
2015,47717,36472.19
2014,88092,17589.48
2014,51859,32250.21
2018,27309,40406.28
2011,88455,25301.83
2022,64734,41008.12
2019,71467,32570.76
2024,53662,44894.6
2002,99506,11349.46
2004,13688,15719.82
2018,26342,42528.71
2006,38157,28999.53
2020,68863,36364.19
2008,53083,21928.56
2006,66733,10000.0
2017,90045,31239.01
2003,35698,23675.55
2024,81623,38092.3
2013,23671,37735.85
2017,26184,40178.37
2025,94384,33783.88
2008,43107,16749.24
2025,87202,33967.71
2020,52663,41284.44
2001,16708,29153.05
2019,92906,30670.5
2014,50811,24343.98
2006,3811,27893.78
2011,57250,26952.65
2007,73082,15286.49
2014,35754,36578.22
2002,96742,10000.0
2013,12411,44851.68
2016,3911,44852.94
2003,68270,17207.8
2017,84763,27729.61
2007,9680,33026.22
2003,85896,13775.02
2001,84879,10601.19
2005,72295,13839.42
2021,89614,30773.09
2009,12111,38480.54
2003,38504,29132.15
2021,2802,52315.69
2017,9155,43462.18
2025,74656,43521.72
2011,40384,27871.16
2001,48254,10000.0
2009,22918,38539.98
2003,86981,10000.0
2013,61713,24880.33
2015,31306,39570.31
2014,17646,44462.13
2007,47843,11652.02
2013,97601,19463.38
2022,91735,29545.75
2024,17371,53160.37
2007,78371,14547.61
2020,3049,49429.32
2015,32616,32110.08
2012,21932,30287.18
2017,30855,39440.21
2014,62434,22803.76
2020,73694,32163.65
2023,44016,44506.58
2025,8400,57561.35
2024,43642,46766.53
2012,16151,31517.94
2008,52407,18690.82
2014,67690,22127.86
2012,5499,37125.8
2000,7295,28307.5
2024,60040,42356.75
2006,13183,33564.51
2008,30299,29160.58
2023,13874,53884.09
2000,33711,11797.0
2011,6539,39638.06
2007,54351,15535.04
2023,62267,39816.42
2010,49354,22637.93
2018,3557,49604.7
2016,39360,37755.29
2007,83018,15917.85
2002,3200,20408.85
2002,69497,10774.44
2000,47975,10000.0
2004,22357,33238.13
2009,78505,17061.32
2006,3869,21710.02
2025,62135,44234.71
2008,51108,23227.82
2006,95179,10000.0
2008,91272,11301.26
2007,39467,18183.46
2011,24328,38908.68
2001,92412,10000.0
2000,87831,10000.0
2015,4987,39895.41
2022,59871,40255.43
2022,23399,49327.43
2023,47214,44355.53
2004,87416,10000.0
2002,71271,11409.38
2011,45064,30143.92
2007,71091,15692.65
2021,41818,45517.15
2002,46525,16180.89
2000,20830,22279.92
2002,18429,30358.49
2004,7893,35592.4
2014,80909,21232.55
2013,48333,26572.21
2002,4436,27807.33
2000,75290,10000.0
2004,77213,10000.0
2025,6895,58146.77
2022,20738,50312.25
2013,31746,40153.05
2006,50377,27281.57
2008,49404,22864.88
2014,55045,27120.7
2014,98888,26046.62
2025,40790,49405.7
2009,6600,29528.33
2012,95660,21259.93
2018,94179,18945.16
2006,41764,13150.37
2016,75543,21187.09
2019,46714,41840.22
2003,57835,10000.0
2004,74744,12121.0
2022,57491,42534.94
2006,19589,18417.05
2012,44484,26102.02
2014,83989,15903.22
2010,37212,21765.1
2003,44525,10512.75
2012,48202,27640.26
2006,33635,28852.88
2018,64208,34831.73
2021,34828,45101.57
2001,19711,27085.78
2009,4420,34822.21
2012,97752,18904.76
2024,1301,58049.12
2020,46236,41024.66
2005,67235,10000.0
2011,55240,30350.12
2011,66726,17658.87
2019,11492,47605.58
2010,7102,38074.13
2025,51336,46402.0
2022,86314,34152.73
2024,27641,51479.03
2006,35584,17864.69
2000,33745,20150.79
2000,24093,20511.95
2024,67105,41356.75
2024,52885,46166.18
2019,37631,42772.74
2012,73991,18116.07
2008,5014,29096.02
2002,12093,16640.42
2006,19070,20602.82
2005,36777,16545.44
